date,description,moneyIn,moneyOut,tx
2014-10-11 00:02:46,PAYMENT RECEIVED,0.5,0,e321e8cd7af0f11c0379b68cf81e8e5218a3ef5465e3052161db5daa73bc19c1
2014-10-11 01:25:56,PAYMENT RECEIVED,0.1,0,42bea5f482a8345ba54fe9f46d91a5437c6cc2fbd3bcd4ea19edd26c88e78dbf
2014-10-11 01:51:20,PAYMENT RECEIVED,0.06,0,7c493c82b11db5de8ce6cddf595f6f13b2f94f9252190474b3d875093fa9a4f1
2014-10-11 03:50:42,PAYMENT RECEIVED,0.05,0,3368d9d1034c5bbe69a4b2fa35df385de04417d46e5239806298e19e46814d21
2014-10-11 04:00:08,PAYMENT RECEIVED,0.2,0,dcfbc0f27300ddaf788aa98c1df1948e05681e0b293f4d9ed709650b32beb0fd
2014-10-11 04:39:07,PAYMENT RECEIVED,0.05,0,e048a7e2fdeb3289776bb2ef67ae49dd93ed0d2b0e106e8c40daa43008e00ff9
2014-10-11 05:37:05,PAYMENT RECEIVED,0.09,0,9725b14dde7c705f6db87cc1e0eb2cdfd95f9738388857400c0011ffa737c445
2014-10-11 05:20:56,PAYMENT RECEIVED,5.897999,0,10391dbd3092a1e644db93fce55a637aa5e9cabcf8ad0f09f87822347cd9e38c
2014-10-11 05:37:10,PAYMENT RECEIVED,0.116,0,bdb02ebe1b70b32105ba1eca8a8d216f2cacab85384bc94bea7c3e7f13eb8787
2014-10-11 07:53:21,PAYMENT RECEIVED,0.91,0,a3e36aa11f5fe234d1ca427c81d341a95486da3175948cb86cd8ad2c94db1b64
2014-10-11 07:58:11,PAYMENT RECEIVED,1,0,7f7d1c66f281e75a45f274dcc6668f72a2f8b251d0daf11eba17472df999fff7
2014-10-11 07:15:24,PAYMENT RECEIVED,0.0008242,0,441e7814abc7ebf4c3ec9f011ceb66a310266a322396239e2d8602cabfb2fa80
2014-10-11 07:46:03,PAYMENT RECEIVED,0.0005,0,54f48b0ca4761a668e4d8643823f213c9e6513c371b016d934126e475abba44b
2014-10-11 09:10:47,PAYMENT RECEIVED,0.1,0,5aa87ff68b9026a8b424540f32737fa3e95fe13abddac0af8a12798dad6a8a5f
2014-10-11 09:50:53,PAYMENT RECEIVED,2,0,271795c7f2d24dbd1339f352d2069228ed8c526b09ca2cf47475f07f4b550f1d
2014-10-11 09:57:43,PAYMENT RECEIVED,0.1,0,76139aa81eb42033cf525b790f7be5b76e957b50bd217c57bee3e8e5678f0015
2014-10-11 11:00:48,PAYMENT RECEIVED,0.1322,0,c45b93195b66daa368303500e1272fea296d64736e120656d561b171a831031f
2014-10-11 11:26:12,PAYMENT RECEIVED,0.01,0,1342c7ff1aa68508efe2a20d7d0dcee6657a923c587f2a4748726d5c302f408e
