date,description,moneyIn,moneyOut,tx
2014-10-09 00:49:54,PAYMENT RECEIVED,0.1,0,336d8f0992cae7caccdb91b934e4621096c865a1d0e3ee843fa930b2487d8760
2014-10-09 00:00:47,PAYMENT RECEIVED,0.125,0,8a776a44eb7b0c263b56b34fe5bf556946d7243bcba7ae4c98867e88558b1ef5
2014-10-09 00:11:34,PAYMENT RECEIVED,0.5,0,7c3c564697ccdd41465e11aa412f8f2f9d3d6cea26f60a0b1a73f199a65ce7bf
2014-10-09 02:01:58,PAYMENT RECEIVED,0.54922,0,99243cd5e84946598c9bd3d50e8f134cd0881c0d498969f5e07774ecee2c5adc
2014-10-09 01:15:13,PAYMENT RECEIVED,0.1,0,af71f0161534a6f106cf6fbf1c5cf1c084592ef80acb93152eaf1224393035e4
2014-10-09 02:07:37,PAYMENT RECEIVED,5.3369,0,51ab84a914da5522824eed7fb70a6024e46775bf7dcc5084d44a71f5fb5e271c
2014-10-09 02:51:12,PAYMENT RECEIVED,0.11,0,c63a69d4af635b76e934bbabf041def77acfc1d454f09c11eb3963f6804db601
2014-10-09 04:39:35,PAYMENT RECEIVED,6.306,0,002a316d18dc70c95cb1580518953b1afd6c2f510935eb24caeecffbc334b861
2014-10-09 04:50:17,PAYMENT RECEIVED,0.1,0,fa6449160c0e88b78ef49bac516152227045f32699eca9eaf80ae20c723699e4
2014-10-09 06:40:16,PAYMENT RECEIVED,0.1,0,06a0a54869cb4c76eac566276b394d7507ee8e41236408ca9a4f5241da0cce1e
2014-10-09 08:18:17,PAYMENT RECEIVED,0.02,0,31a37d3a14eb8356ed0903bd740e0f1eec2f3b99555926e0e2e72d981c30a610
2014-10-09 09:30:25,PAYMENT RECEIVED,0.1,0,465ed067f0fd036c8ac81c83293a9fd95bc74c25dd25a2432a3e7947a2e1f170
2014-10-09 09:33:00,PAYMENT RECEIVED,0.1,0,d628b1b4f345b42e5e3ec67acbd6667ef9fb9281f3cd4ce5ddade95fb0f47b6a
2014-10-09 12:10:55,PAYMENT RECEIVED,0.2,0,f35e2a98a5635d0b2bca5e61c94ed08da5c1cedfa8808aad3c44a376cb8c80d4
2014-10-09 12:38:24,PAYMENT RECEIVED,0.06,0,8c13f31a722ed9665a1a7f4e1dd6509fb46d1d8c79ee9b77ebcac707b2d562d9
2014-10-09 13:10:13,PAYMENT RECEIVED,1,0,9083d63950b32b4a9da5f77c66da09f7fdbdba3578fee53c50c27b4936c14460
2014-10-09 13:02:23,PAYMENT RECEIVED,0.5,0,f7ae4f275c55a3be9c2037db761fb125199cda3c1bc761f42adc71a16a2955d7
2014-10-09 13:57:54,PAYMENT RECEIVED,0.05,0,25a0a647164f9ba8f19bc30b4f9c750ba427b228166bd284339a9a5226165e6c
2014-10-09 14:13:08,PAYMENT RECEIVED,2.1291187,0,093eeb333fdbf3cc81913a38d59f45d90b5631fa751f0e89eacb61ac1382e1ea
2014-10-09 14:16:33,PAYMENT RECEIVED,0.5,0,71cb5d6805dce44afaa34849417bf11536f4a2ece17762a6ced011c7ad179dcb
2014-10-09 14:39:26,PAYMENT RECEIVED,0.0001,0,e4cb6e22e4176e4d5ead16ba167c38a6c257ba7eb8a213d29653c8ee1e350255
2014-10-09 14:58:45,PAYMENT RECEIVED,2,0,533ee3994d3f5f6a6a524b838f46d4153bbe4670e536c299b0b356a0dd541b27
2014-10-09 16:08:54,PAYMENT RECEIVED,1,0,8a6065082d245ef4b9fe7f91476539634e351fd3dc8d2e6b10befca937ba6a6d
2014-10-09 16:49:26,PAYMENT RECEIVED,0.25,0,a839c1edb86c82c8a9cc0de08f3bbde54454575d49564bd6b1a20905b1b24e8a
2014-10-09 18:26:28,PAYMENT RECEIVED,0.1668,0,4210f56fb0cc491fbbb097a1f4a2d66122038a8e3fcd76381bbf1b09636a8dba
2014-10-09 18:48:20,PAYMENT RECEIVED,0.4,0,2135d6d7ab97faaef3ee1858a8d54b123faedd750b94bdf19a8e817985dcf260
2014-10-09 19:25:59,PAYMENT RECEIVED,1,0,b37c305481d29689e09306af4144b95100b75d6a23b138be0c866165331d8675
2014-10-09 19:41:59,PAYMENT RECEIVED,1,0,af433001b197b087daf16fde7545e3d042202199e9d0016e824f72e84a67ea34
2014-10-09 20:30:52,PAYMENT RECEIVED,0.1,0,545783bfbbac535fe2cab1d03f05da949161709dbee631f54f90f0b79c21beba
2014-10-09 20:56:59,PAYMENT RECEIVED,0.05,0,74acefd1937e084e14ab6a8d6b103e718a7631cc346fb92a00be3f35118ece95
2014-10-09 21:13:42,PAYMENT RECEIVED,0.25,0,5adb3e78cf1ab3f55e8cb486c4570aa6465d6c116216ab1e15ed59065473460c
2014-10-09 22:04:51,PAYMENT RECEIVED,0.1,0,da80d86c714c80d674802c08d13333f42c912c93fa1bd927ba2121275723e3ce
2014-10-09 22:40:25,PAYMENT RECEIVED,0.501,0,2e80ceeed880121ed6a4cc6680ca9cf413f76f20a4cd6822b59f68516a2df583
2014-10-09 22:43:01,PAYMENT RECEIVED,0.499,0,128580a750bd1ee5f0dc4f4c2c4bcad71355cc0a7ba75d1e34175962e8608b44
2014-10-09 22:54:57,PAYMENT RECEIVED,0.1,0,e3c8b5045c44bd261ff636ff48958190271844fb5445c0fdce81d3f6f2986d6f
2014-10-09 23:09:41,PAYMENT RECEIVED,0.79120446,0,12c9058ad6ad02e740b45139b8957d7c601f08f4c4a2a864242401e5b96f94a8
2014-10-09 23:11:19,PAYMENT RECEIVED,0.19770299,0,debc198a62e789aaf1ec9c72d6be7d3b687b4f68274b0f8076e56b8b8bc96918
2014-10-09 23:45:32,PAYMENT RECEIVED,0.3,0,d98b3d1df676a4537718225fa0e8de58e9faaaf27fa580ff6c84f9b0e7bd020e
2014-10-09 23:49:13,PAYMENT RECEIVED,0.75,0,a74c09444079f4794821fd0252b08b62287d4f7974a9cc6533724329c3e0ce46
2014-10-09 23:53:51,PAYMENT RECEIVED,2,0,dce0f174f366d37986798a8c910a86b6be0aa3607b210ba1b487a71a51908e23
2014-10-09 23:56:16,PAYMENT RECEIVED,0.01033082,0,e3f6945d4289ec4d473c8797874d92e5b1a3df3f9d57516c2c430cfba1345b62
2014-10-09 23:34:36,PAYMENT RECEIVED,0.0062,0,d6af6aeebefb42f5c9b3a4c26ca59443a615a2a877fa420e47640ab480304571
2014-10-09 23:36:39,PAYMENT RECEIVED,0.5,0,72ce6512bd144c08ef8e1a3516ef5443375979f241bbe8127846d5cd1cce6007
2014-10-09 23:46:15,PAYMENT RECEIVED,0.001,0,b5eb394b2c2f4520add0025988a5bae2082d17c7f3c07b244346d29339c84504
