date,description,moneyIn,moneyOut,tx
2014-10-08 00:59:44,PAYMENT RECEIVED,1,0,4165cd1c9e429dfc211db19151f33eb17f511127257ef52e17492a0fdebd0112
2014-10-08 03:39:46,PAYMENT RECEIVED,1.989,0,6c4f2b11e351eab481154f0cf7de79800a625ef05f6fcfef153629d5bce2e856
2014-10-08 03:29:16,PAYMENT RECEIVED,0.5,0,c597ccf031eabafd938fc194468287ae75b916b5b4cf72b4a721f550c78546f8
2014-10-08 03:51:54,PAYMENT RECEIVED,2.1681,0,4b9fd922a831e1f48150bb54d3137f06f49752bb43652ddfd662a038c8eb9475
2014-10-08 04:04:06,PAYMENT RECEIVED,0.1,0,ddfc71c665cd20ffe42addcc86386eabf1725c020d496b10facc1333946dbfbd
2014-10-08 04:32:16,PAYMENT RECEIVED,0.1,0,c8e74ddf70c5b805761da7441214430af8c71ea85630c097dfb8da7c78cb1e4e
2014-10-08 05:02:00,PAYMENT RECEIVED,4,0,1d944407ebd71e815639a1d6eab90e568c560d8b0a0fc6b9025660da19a531b4
2014-10-08 04:27:03,PAYMENT RECEIVED,0.1,0,20f51ddaa459e01a979c8d25a18f8e36b6d855919c66f618f66f5f8fbe8ebaa5
2014-10-08 05:09:54,PAYMENT RECEIVED,0.1,0,ec281151807b3a0053c4afbe296ca374a13b263d22a6057aa15264430302d61b
2014-10-08 06:33:07,PAYMENT RECEIVED,3.07912,0,ea26dade0407df68d3aa6c496652624fef7dccc8eee839e2f4f2530fd389818d
2014-10-08 06:06:21,PAYMENT RECEIVED,4.931915,0,429e3f882eee32a2a12212f824005a36e32346900d9f320deb07448edd9f16f7
2014-10-08 09:47:48,PAYMENT RECEIVED,1,0,90734d5b4db389527243fd2b3ab2535341dd144fe67087fffa2658462172e349
2014-10-08 11:00:37,PAYMENT RECEIVED,0.03,0,f7a44ad499fbf71a73b2b31bfb6c07d4335c098c04baac904c6dce556828ec38
2014-10-08 11:09:06,PAYMENT RECEIVED,1.5,0,523c4ef56fa6c3fdafd4600d8c7db2b190c642816a3b71160c618dacad8abbdb
2014-10-08 11:32:28,PAYMENT RECEIVED,0.2,0,9578cbfe581d3640259f44520cb2b860950c7196789c504e53550d8fa3fd6503
2014-10-08 11:38:18,PAYMENT RECEIVED,0.007,0,5c4e08ff94857b49b2921bbf14f38ec0c15d517ed72e2540c126eb6a98f8a9c4
2014-10-08 12:09:31,PAYMENT RECEIVED,0.02,0,6615b41db2986b7ef6140a3e0d2ef056c74209d002846e1a0333bd2a602e1327
2014-10-08 12:27:44,PAYMENT RECEIVED,2,0,1a6741a5ff264b7c409c5ec8946e34cbf7f8318ece65d88e30b7824ca5363699
2014-10-08 13:17:04,PAYMENT RECEIVED,0.01247595,0,1b348be04bf7657c35db453fb80cca9144b7b07626eb9a77b280b659645cf5e0
2014-10-08 14:42:58,PAYMENT RECEIVED,0.1,0,51fc62b004437296f9d7c6f2d2f815e253cdc22157153fbe71ddfeff55c75815
2014-10-08 14:37:49,PAYMENT RECEIVED,0.0962,0,96672f0817b731f42c89c11584fcd66bd92350ee6df4defeb8f04d8e122fd88c
2014-10-08 14:42:18,PAYMENT RECEIVED,0.1,0,652a9091f1f67dc763039a214686fb58cd838ac4c492c0aa6ac08b50dbb422a9
2014-10-08 16:02:04,PAYMENT RECEIVED,1,0,2d2f1981daaa25c036a6123c0f197d87c9bbae88648fa2d0b1116ad65f7523b4
2014-10-08 16:16:17,PAYMENT RECEIVED,0.2,0,3df99e55633fa13d1ae30b6445b5a1f1c692719bcb85ba85a5275bcfa5854e3e
2014-10-08 17:20:09,PAYMENT RECEIVED,1,0,253c482396035f3d0cd0628735bdb69eabd7e007aef87be9d66584cbb3ac21b5
2014-10-08 18:36:53,PAYMENT RECEIVED,0.015,0,2e9896d94f86f63ea10b43c4a5bb760087801f47af0f74605a725144a71cc31b
2014-10-08 19:10:52,PAYMENT RECEIVED,0.3,0,766ab55e6965f5b040f4d8dcee24d9c712b28efaf1d12118a62cfecc46a75edf
2014-10-08 19:12:39,PAYMENT RECEIVED,0.9993,0,47315af39c0b352976845b95b414fad2ddc3df4386d25e15755b583afbafd39b
2014-10-08 19:22:06,PAYMENT RECEIVED,0.17755773,0,985ac2166bfc01e2ec8016e4a35e2f5f38a625eb31cb75c97080d3d5151e3c19
2014-10-08 20:14:57,PAYMENT RECEIVED,0.25,0,e5c29d5d33e02b7a31ceb672be3a4034248a3d90f888a15fd82cd39fe98a7d7f
2014-10-08 20:24:05,PAYMENT RECEIVED,0.02,0,b23c04e5409f5d64768bd2d804608be09200ab64d05c36464e5b1423892abb3f
2014-10-08 20:24:29,PAYMENT RECEIVED,0.4999,0,054b7565b924920dbc6f83d7de24a8a6b2d66955afc20c33a2313888fa45ed64
2014-10-08 21:18:21,PAYMENT RECEIVED,0.4,0,3e48dbcee91a48099b610fc0a697f9881285062b5bf6d0e482f7298453881dc1
2014-10-08 21:31:52,PAYMENT RECEIVED,0.109,0,d39b144b990f616a4be9d969715405d3723a03a3a03e25b7d250c73bff0c6c35
2014-10-08 22:03:55,PAYMENT RECEIVED,1,0,5b94fca7210ee80d596d77c824d1ac3823951648460b26e384f31e1076176304
2014-10-08 22:24:16,PAYMENT RECEIVED,0.5,0,910d5ca284b24d90378323de162fb855982269664bc0861c290d6cecfe083ebd
2014-10-08 23:05:37,PAYMENT RECEIVED,0.4827,0,da0cce108992020a0fc5e1cc4a3e9b2a9c534301c8cdcca098d46c34543b30f2
2014-10-08 22:56:28,PAYMENT RECEIVED,0.5096,0,99e34868fd7aee19daae973dddd2c74541e5f0e9778afe0cace756aa44d2ac71
2014-10-08 23:04:55,PAYMENT RECEIVED,0.5,0,8b0bdf121f5d8e324537d9cbf237bdb1b102275dc9505ca2763fff32989e0f66
2014-10-08 23:22:10,PAYMENT RECEIVED,0.5,0,12fc4e5a8fc640baf60998039e65668929a021c26120226f386b63db1dbe3646
2014-10-08 23:38:37,PAYMENT RECEIVED,0.1,0,a4c013aea81e1428b05faf52f089c146d6ed9129d3511a7f6a5260e6ce22c47c
2014-10-08 23:46:44,PAYMENT RECEIVED,0.5092,0,a6d640746c7cc3cd7ccc7d9ceb92c3980c1df12b1044924c819e2cacea98852e
2014-10-08 23:50:49,PAYMENT RECEIVED,3,0,c934f25cdd1e1113edc7ba72410c5c8b2804244e23d0d156da5a057a0b0a2d8b
